dataset_name,model_type,error_bound,epochs,memory,horizon,batch_size,hidden_size,train_rmse,rmse,rmse_on_raw,train_start,lr,lr_gamma
lg_v3_d5,lr,1,15,60,30,512,-1,0.1680486649274826,0.1720212666712784,0.1684093080775594,2021-10-19 09:03:50.808428,0.005,0.9
lg_v3_d5,lr,2,15,60,30,512,-1,0.1826605349779129,0.1703394493193522,0.1425334295726363,2021-10-19 09:08:05.515179,0.005,0.9
lg_v3_d5,lr,5,15,60,30,512,-1,0.1842557936906814,0.1905487781738712,0.1445794796909869,2021-10-19 09:12:26.415125,0.005,0.9
lg_v3_d5,lr,10,15,60,30,512,-1,0.1902900487184524,0.2070551016083528,0.1504748084327786,2021-10-19 09:16:44.550495,0.005,0.9
lg_v3_d5,lr,25,15,60,30,512,-1,0.1879706382751464,0.1997644910266497,0.1510138432190264,2021-10-19 09:21:05.846154,0.005,0.9
lg_v3_d5,lr,50,15,60,30,512,-1,0.184195339679718,0.1919158075683832,0.144207593326789,2021-10-19 09:25:24.708579,0.005,0.9
lg_v3_d5,lr,-1,15,60,30,512,-1,0.1492449641227722,0.1342885424572317,0.1342885424572317,2021-10-19 09:29:44.770793,0.005,0.9
lg_v3_d10,lr,0,15,60,30,512,-1,0.1559724807739257,0.1481689702396695,0.1321958186163775,2021-10-19 09:34:04.765190,0.005,0.9
lg_v3_d10,lr,1,15,60,30,512,-1,0.1560548096895218,0.1608321544102198,0.1389686333878304,2021-10-19 09:38:36.896681,0.005,0.9
lg_v3_d10,lr,2,15,60,30,512,-1,0.1567011028528213,0.1423724670183522,0.1359581399820361,2021-10-19 09:42:57.983652,0.005,0.9
lg_v3_d10,lr,5,15,60,30,512,-1,0.147490844130516,0.137523265806868,0.1345056124287676,2021-10-19 09:47:20.302879,0.005,0.9
lg_v3_d10,lr,10,15,60,30,512,-1,0.1393785029649734,0.1243222602387616,0.1336887464442398,2021-10-19 09:51:41.400323,0.005,0.9
lg_v3_d10,lr,25,15,60,30,512,-1,0.1376692205667495,0.1207953074251007,0.1333189660152485,2021-10-19 09:56:01.892863,0.005,0.9
lg_v3_d10,lr,50,15,60,30,512,-1,0.13558229804039,0.1210514765132325,0.1338896619903865,2021-10-19 10:00:52.821501,0.005,0.9
lg_v3_d10,lr,-1,15,60,30,512,-1,0.1491647511720657,0.1343852818226837,0.1343852818226837,2021-10-19 10:05:14.359201,0.005,0.9
lg_v3_d25,lr,0,15,60,30,512,-1,0.1550413817167282,0.144151836207286,0.1333057947298128,2021-10-19 10:09:45.095402,0.005,0.9
lg_v3_d25,lr,1,15,60,30,512,-1,0.1497752964496612,0.1371956117892082,0.1360039271802873,2021-10-19 10:14:10.007010,0.005,0.9
lg_v3_d25,lr,2,15,60,30,512,-1,0.1434707045555114,0.1408839942128993,0.1338205912348974,2021-10-19 10:18:32.504922,0.005,0.9
lg_v3_d25,lr,5,15,60,30,512,-1,0.1419012546539306,0.1247583368643443,0.1350715158176376,2021-10-19 10:23:14.059658,0.005,0.9
lg_v3_d25,lr,10,15,60,30,512,-1,0.1367567330598831,0.1199227402584449,0.1330690260631822,2021-10-19 10:27:35.776418,0.005,0.9
lg_v3_d25,lr,25,15,60,30,512,-1,0.134864866733551,0.1180392881992003,0.1344524694866744,2021-10-19 10:31:54.346099,0.005,0.9
lg_v3_d25,lr,50,15,60,30,512,-1,0.1335390955209732,0.1173113905863085,0.1350570946001637,2021-10-19 10:36:13.412977,0.005,0.9
lg_v3_d25,lr,-1,15,60,30,512,-1,0.1493473649024963,0.1341416061508097,0.1341416061508097,2021-10-19 10:40:35.073287,0.005,0.9
pmc_only,lr,0,15,60,30,512,-1,0.1493149250745773,0.1340979676584705,0.1340979676584705,2021-10-19 10:44:52.858593,0.005,0.9
pmc_only,lr,1,15,60,30,512,-1,0.1490782499313354,0.1338705180217997,0.133968511223898,2021-10-19 10:49:13.265885,0.005,0.9
pmc_only,lr,2,15,60,30,512,-1,0.1489719003438949,0.1344035822787842,0.13446862946956,2021-10-19 10:53:31.757303,0.005,0.9
pmc_only,lr,5,15,60,30,512,-1,0.1488114148378372,0.1338272631602815,0.1338974510922315,2021-10-19 10:57:53.160929,0.005,0.9
pmc_only,lr,10,15,60,30,512,-1,0.1482658982276916,0.1338071692965714,0.1343290801107401,2021-10-19 11:02:11.219505,0.005,0.9
pmc_only,lr,25,15,60,30,512,-1,0.1481639742851257,0.1327324877216701,0.1338376389248495,2021-10-19 11:06:31.638764,0.005,0.9
pmc_only,lr,50,15,60,30,512,-1,0.145747110247612,0.1251286119935377,0.1317945500191797,2021-10-19 11:10:49.698335,0.005,0.9
pmc_only,lr,-1,15,60,30,512,-1,0.14909633994102478,0.13427702826759721,0.13427702826759721,2021-10-19 11:15:11.125898,0.005,0.9
swing,lstm,0,15,60,30,512,32,0.203985333442688,0.1853663925441988,0.1853663925441988,2021-10-19 13:26:25.584343,0.005,0.9
swing,lr,0,15,60,30,512,-1,0.1492086201906204,0.1342513948323581,0.1342513948323581,2021-10-19 13:34:05.008845,0.005,0.9
swing,lstm,1,15,60,30,512,32,0.2039922177791595,0.1865091184999535,0.1867717943198939,2021-10-19 13:38:04.054662,0.005,0.9
swing,lr,1,15,60,30,512,-1,0.1489494144916534,0.1332939970665502,0.1334214608150098,2021-10-19 13:45:49.615507,0.005,0.9
swing,lstm,2,15,60,30,512,32,0.2036152780055999,0.185911963006856,0.1867065350187237,2021-10-19 13:50:13.132127,0.005,0.9
swing,lr,2,15,60,30,512,-1,0.1489100903272628,0.1339740110934844,0.1343755704261263,2021-10-19 13:58:05.837873,0.005,0.9
swing,lstm,5,15,60,30,512,32,0.2023883014917373,0.1834362616740649,0.1852628838391637,2021-10-19 14:02:19.420729,0.005,0.9
swing,lr,5,15,60,30,512,-1,0.1487940847873687,0.1325496148541665,0.1333858533748622,2021-10-19 14:10:48.991069,0.005,0.9
swing,lstm,10,15,60,30,512,32,0.200381726026535,0.1880157430304363,0.1920041099709222,2021-10-19 14:16:42.362127,0.005,0.9
swing,lr,10,15,60,30,512,-1,0.1466098725795745,0.1327870391141033,0.1356725881858914,2021-10-19 14:25:04.500034,0.005,0.9
swing,lstm,25,15,60,30,512,32,0.1980999559164047,0.1732738413751386,0.182510853342036,2021-10-19 14:29:34.893478,0.005,0.9
swing,lr,25,15,60,30,512,-1,0.1449461579322815,0.1238121738285452,0.1315938227555594,2021-10-19 14:37:50.441514,0.005,0.9
swing,lstm,50,15,60,30,512,32,0.197986826300621,0.1517132128540991,0.1606333124802209,2021-10-19 14:42:11.122322,0.005,0.9
swing,lr,50,15,60,30,512,-1,0.1435247808694839,0.103695808824326,0.1130390123290333,2021-10-19 14:50:30.909687,0.005,0.9
swing,lstm,-1,15,60,30,512,32,0.2044878602027893,0.1863643579422813,0.1863643579422813,2021-10-19 14:54:48.665641,0.005,0.9
swing,lr,-1,15,60,30,512,-1,0.14927299320697784,0.13417625842893946,0.13417625842893946,2021-10-19 15:02:42.939909,0.005,0.9
